a = { a név  egalizál kiemel mutat személyazonosság tárgyal dologbeli amelyik szab va } 
arámi = {  történelem afroázsiai nyelv a séma nyelvcsap kelet vagy észak-északkelet ágál egyik nyelv } 
arány = { arány főnév  méret kiegyensúlyozott amely egalizál látvány érzékel } 
aránylag = { aránylag határozó    a körülményesség képes egalizál ismert test tárgy szokásos méretes mérték egalizál személy szokásos vagy előbb állapot viszonyítatlan konyha aránylag kicsi a lakás képes } 
aránylik = {    meghatározottság mennyiség viszony van egalizál másik vele összehasonlíthatalan dolog helyes é szécsisziget méret mérték kapcsolat összhang van között megfelelő tervez miatt a terebélyes körülvesz épületes magasság aránylik a tér nagyság } 
arányos = {  meghatározottság mennyiség viszony álló több érték több mennyiség ilyen-amolyan viszony létrehoz művelet } 
aránypár = {  számtan két egyenleg érték hányados egyenlőség jelleg összeköt } 
arányszám = {  matematikai két mennyiség egymás viszonyítatlan nagyság mutat szám } 
aránysúly = {  régies egalizál test súly viszony a térfogat mérv fajsz } 
aránytalan = { aránytalan melléknév    nebich tetszeleg hatás kelt kép látvány amely részecske nincsen helyes megfelelő méret viszony egymás é az egész é ezékiel kellemetlen nyugtalanít hatás okoz testmeleg képes aránytalan nagyacsád fej nevetséges } 
aránytalanság = { aránytalanság főnév    nebich tetszeleg hatás amit olyan-amilyen kép vagy látvány okoz amely részecske nincsen helyes megfelelő méret viszony egymás é az egész testmeleg képes a nagyacsád fej aránytalanság nevetséges } 
aréna = { aréna főnév    cirkusz kerecsen tér amely a mutatvány előad aréna hirtelenkedik két oroszlánbarlang vonul be } 
arétász = {  } 
as = {    történelem régi róma pénzegyenleg ki-be érték rézbánya öntött váltópénz értéktelen „fillér” } 
asbest = { az főnév    ásvány tűz ásvány amely szürkéllik vagy zöldell színű fényecske rostok hosszú laza hajlékonylemez szilícium-völgy kristályos állag az por egészség } 
ascendens = {    felmenet ágost levő család apai asz részrehajlás királyasszony származás } 
ascendenti = {  } 
ascensio = {  föl mennybeli } 
aschenbrödel = {  } 
ascites = {    has folyadék a hasüreg ascites máj is okoz } 
asclepias = {  } 
asgabat = {  } 
asinus = {  szamár } 
asinus ad ly = {  terebélyes szamár a lant valaki aki nebich ért valami } 
asinus asinus fricska = {  szamár simogat a szamaragol két ostobaság ember dicsér egymás } 
asinus in tegucigalpa = {  szamár a háztető valami különös szokatlan látvány } 
askenázi = {    németország é kelet-timor származás zsidó } 
askesis = {    vezeklő önszuggeszció } 
asketa = { aszkétikus főnév    test öröm lemond ember aki önmegtartóztatás életelv él é önkéntelen nebich elég ko az élettelen jár test vágyakozik utca lakó aszkétikus hétköznap életelv él magány ember } 
asketicus = {  önszuggeszció } 
asmodeus = {  a gonoszlelkű szellemek királyasszony az ószövetség legenda a házasság megront démon  } 
asmodái = {  a gonoszlelkű szellemek királyasszony az ószövetség legenda a házasság megront démon  } 
asmódi = {  a gonoszlelkű szellemek királyasszony az ószövetség legenda a házasság megront démon  } 
aspartam = {  ideg ami idegrendszer megtéveszt édes érzés kelt } 
aspektus = {    kedvez lehetőség } 
asper = {  } 
asperger = {    neuro ideg eredet pervers egész személyiség kiterjed fejlődés zavar az autarkia enyhén formáció } 
aspergillum = {  szenteltvíz hint } 
aspersio = {  behint megöntöz szenteltvíz } 
aspersorium = {  szenteltvíz hint } 
asphalt = { aszfodélosz főnév    szurokfű olvaszthatatlan építő gyanta kőolaj természetes é mesterséges adalékanyag kőzet homokbucka é mészkő álló szigetel vagy burkol anyag út anyag aszfodélosz } 
asphyxia = {    olyan-amilyen állapot mely sor a test súlyosan oxigén szenved a nebich megfelelő légzés miatt } 
aspic = { aszpartam főnév  kocsonya anyag amely hideg étel saláta halétel hús é tojás díszítés fényez használ é csontbőr zöldség különös borjúláb főz aszpik sohanapján nebich használ gyümölcsös édesség díszítés arra a cukorbaj készült zselatin való } 
aspirans = {    állás pályázó személy egalizál magasan beosztás betölt vágy személy aspiráns bead életrajz átolvas után kiválasztott közül a legjava jelölt } 
aspiratio = {  erős kívánság egalizál cél elér határozottan törekvés vágy fiatalember aspiráció egalizál jó keres állás megszerzés } 
aspiráció = {  erős kívánság egalizál cél elér határozottan törekvés vágy fiatalember aspiráció egalizál jó keres állás megszerzés } 
aspirál = {  vágy rá törek egalizál cél elér egalizál állás pozan állapot megszerzés fiatalember vezető állás aspirál } 
aspiráns = {    állás pályázó személy egalizál magasan beosztás betölt vágy személy aspiráns bead életrajz átolvas után kiválasztott közül a legjava jelölt } 
assa foetus = {  ernyő növény a belőle nyer bűzölög gyanta anyag } 
assai = {  kiejt asszanálás } 
assanálás = {  az egészségügy viszonyos javítás } 
assassin = {  orgyilkosság } 
assaut = {  kiejt asz } 
assecla = {  hív követő egalizál fontos személynév } 
assecuratio = {  biztosít } 
assecurál = {  biztosít } 
assemblage = {  gyülekezet } 
assemblée = {  gyülekezet } 
assensio = {  hozzájárulás } 
assensus = {  beleegyez } 
assentál = {  } 
assentálás = {  soroz felavat } 
assertorius = {  } 
assessor = {  ül a megye törvényszék tag } 
assicurazioni general = {  általános biztosítás } 
assiduitás = {  kitart } 
assidus = {  kitartó } 
assiette = {  kiejt aszik } 
assignata = {  utalványos pénznyeremény a francia forradalom } 
assignál = {  utak utalványos } 
assimilatio = {  egalizál kisebb beolvad egalizál nagyobb létszám közösben nép úgy hogyan átvesz a befogad közösben nyelvégés szokás jellegzetesség tulajdonság eközt elveszt a korábbi megkülönböztet jellegzetesség } 
assimilál = {  magában hasonló tesz másfél magában beolvas sajátkezű magában alakít kisebbség a többség könnyebb asszimiláció } 
assimilálódik = {    hasonló lesz áthajlik } 
assistens = { asszisztencia főnév    irányít segítő személy egalizál vezető állásbak beosztás levő személy vagy nagyon elfoglal magán közvetlenül rendelkezés álló alkalmazott titkár } 
assistentia = { asszisztencia főnév  közreműködik segítség egalizál feladat munka elvégzés orvos mellette egalizál nő adjectivum az asszisztencia a rendelő } 
assistál = { asszisztencia ige    közreműködik segít egalizál feladat munka elvégzés orvos mellette egalizál nő asszisztencia a rendelő } 
associalódik = {  társulat } 
associatio = { asszociál főnév    kapcsolat fennmarad vagy létesítés amikor két vagy több viszony jön létra vagy marad fenn különféleképp részecske között társít jó színére segít a színehagyott ízlés asszociáció az öltözködés } 
associatio idea = {  eszme } 
associál = { asszociál ige    kapcsolat létesít amikor két vagy több viszony jön létra különféleképp részecske között társít lány jó színére asszociál egymás öltözék részecske } 
associé = {  kiejt aszociális } 
assonantia = {  a sorvad szótagol rímel pótlap összhangzás mely a magánhangzó ugyanazon a mássalhangzó csak rokon kapocs } 
assortiment = {  kiejt aszociális } 
assotiatio idea = {  } 
assumtio = {  máriahalom mennybemenetel } 
assunta = {  } 
assunzione = {  } 
assurance = {  kiejt asz } 
asszanálás = {  az egészségügy viszonyos javítás } 
asszaszin = {  orgyilkosság } 
asszeki szultán = {  } 
asszekla = {  hív követő egalizál fontos személynév } 
asszekuráció = {  biztosítás } 
asszekurál = {  biztosít } 
asszentál = {  } 
asszentálás = {  soroz felavat } 
asszenzió = {  hozzájárulás } 
asszenzus = {  beleegyez } 
asszertórikus = {  állító megerősít biztosít } 
asszertórius = {  állító megerősít biztosít } 
asszesszor = {  ül a megye törvényszék tag } 
assziduitás = {  kitart } 
asszidus = {  kitartó } 
asszignata = {  utalványos pénznyeremény a francia forradalom } 
asszignál = {  utak utalványos } 
asszignáta = {  utalványos pénznyeremény a francia forradalom } 
asszimiláció = {  egalizál kisebbség beolvad egalizál nagyobb létszám közösben nép úgy hogyan átvesz a befogad közösben nyelvégés szokás jellegzetesség tulajdonság eközt elveszt a korábbi megkülönböztet jellegzetesség } 
asszimilál = {  magában hasonló tesz másfél magában beolvas sajátkezű magában alakít kisebbség a többség könnyebb asszimilál } 
asszimilálódik = {    hasonló lesz áthajlik } 
asszisztencia = { asszisztencia főnév  közreműködik segítség egalizál feladat munka elvégzés orvos mellette egalizál nő adjectivum az asszisztencia a rendelő } 
asszisztens = { asszisztens főnév    irányít segítő személy egalizál vezető állásbak beosztás levő személy vagy nagyon elfoglal magán közvetlenül rendelkezés álló alkalmazott titkár } 
asszisztál = { asszisztál ige    közreműködik segít egalizál feladat munka elvégzés orvos mellette egalizál nő asszisztál a rendelő } 
asszociatív = {  összekapcsol elmebeteg jelenség módszer } 
asszociáció = { asszociáció főnév    kapcsolat fennmarad vagy létesítés amikor két vagy több viszony jön létra vagy marad fenn különféleképp részecske között társít jó színére segít a színehagyott ízlés asszociáció az öltözködés } 
asszociál = { asszociál ige    kapcsolat létesít amikor két vagy több viszony jön létra különféleképp részecske között társít lány jó színére asszociál egymás öltözék részecske } 
asszociálódik = {  társulat } 
asszonancia = {  a sorvad szótagol rímel pótlap összhangzás mely a magánhangzó ugyanazon a mássalhangzó csak rokon kapocs } 
asszony = { asszony főnév  párka él nő aki lehet férjezetlen özvegyasszony elválaszt vagy élettartam lány mácsik két év asszony } 
asszonyi = { asszonyi melléknév    felnőtt nőnem személyes kapcsolat sajátságos rája jellemző tulajdonság megnyilvánulás asszonyi logika sokszor kiiszik a férfias számára } 
asszonyias = { asszonyias melléknév    felnőtt nő jellemző magatartás megnyilvánulás sajátságos tett fiatalasszony a házasság után néhányan hónap mácsik észrevehetetlen lett az asszonyias viselkedés } 
asszonyjog = { asszonyjog főnév  régies a nők személy é vagyonállapot biztosít jog } 
asszonyka = {    fiatalasszony felnőtt nő aki nemrég menazséria férj asszonyka egyre-másra gyakrabb parancsol az urán } 
asszonykodik = { asszonykodik ige    régies férjezetlen állapot van } 
asszonynép = { asszonynép főnév    népies felnőtt nők  kisebb-nagyobb csoport asszonynép nebich tartozik bele a kislány } 
asszonyos = { asszonyos melléknév    feleség felnőtt nő vall jellem külszín szokás természetellenes tett lány amikor együtt volt a barát egészen asszonyos viselkedés lett } 
asszonyszavú = {  régies vékony sipít hang férfi szóvegyülés kappanhang } 
asszonyság = { asszonyság főnév    népies idősek nő felnőtt nő idegen hangzat vagy fölény megszólítás piacol drágáll árul a szomszéd asszonyság } 
asszonánc = {  irodalom magánhangzó rí amely csak a magánhangzó azonosan a mássalhangzó legfeljebb hasonló rokon almamellék – arat ág – mácsik híre-hamva – idelenn költő asszonánc tesz játékos a versény } 
asszumpció = {  máriahalom mennybemenetel } 
asszunta = {  } 
asszéki = {  } 
asszír = { asszír főnév    közel-kelet nép amely az i } 
asszó = { asszó főnév  vívás a mérkőzik egalizál menet amíg az egyik verseny minélfogva rövidecske idő alatt egalizál meghatározottság pontocska el nebich ér csörte mérkőzik több asszó álarc } 
asság = { -aság -asság -eség -esség főnévképző említ jellemző tulajdonság esemény dolog } 
astaroth = {    a mágia az est szellem } 
astarte = {  } 
asteriscus = {  csillagjegy * } 
asteroid = { aszter főnév  kisbodak egalizál központ csilla körül kering ki-be kiterjedés szilárda anyag égi képed látható aszter hossz 32 kilo } 
asthenia = {  erőtlen gyöngeség aszt általános velejáró a betegség után lábadozik } 
asthenozoospermia = {    a spermium csökkent mozgás asthenozoospermia ront a termékenyít képesség } 
asthma = { asztmatikus főnév  lég betegség amely zihál fullad rohamos görcsöl köhögés jár sok az asztmás szenved } 
asthmatikus = {  nehézfejű légzés lég betegség kapcsolat rá jellemző kezelés tünet asztmatikus tünet hirtelenkedik lép fel } 
astigmatismus = {    látás mely főképp a tárgyal széled lát elmosódik } 
astigmia = {    szemtengely } 
astragalus = {  } 
astralis = {  összetétel csillag } 
astrocytoma = {    csillagsánc agydaganat astrocytoma az egyik leggeramente agydaganat } 
astrolabium = {  a csillagos magasság mér szerszámfa } 
astrolog = { asztrológia főnév    jövendőmondás személy aki az égi leggeramente a nato hol különböző bolygó é más égi adott idő megfigyel állás illet az égboltozat megfigyel helyzet von l'hombre következtetés a jövőbeli bekövetkező változás vagy esemény asztrológia a személy születés helyénvaló é a születés idő néz meg hogyan mi lesz a sors az embernagyság } 
astrologia = { asztrológia főnév    titok tudás közvetít tan amely szerint az égi leggeramente a nato hol különböző bolygó é más égi adott idő megfigyel látszólag helyzet hatás van egalizál személy vagy közösben képesség jellem é sors régi korog a csillagász asztrológia is foglalkozik } 
astrolábium = {  a csillagos magasság mér szerszámfa } 
astronom = { asztronómia csillagász főnév  a földönfutó kívül térrajz foglalkozik kutat az égi csillagos bolygó holda é más kisebb égi mozgás tulajdonság é a köztartozás levő tér jelenség kutat szakember asztronómia leg műszer egalizál nagyacsád táv } 
astronomia = { asztronómia csillagász főnév  természettudós amely a földönfutó kívül térrajz é a benn levő égi csillagos bolygó holda é más kisebb égi foglalkozik } 
astronomiai = {  } 
astronomus = { asztronómia csillagász főnév  a földönfutó kívül térrajz foglalkozik kutat az égi csillagos bolygó holda é más kisebb égi mozgás tulajdonság é a köztartozás levő tér jelenség kutat szakember asztronómia leg műszer egalizál nagyacsád táv } 
asunción = {  } 
asylum = {  menedékhely rejtek } 
asymmetria = { aszimmetrikus főnév  nebich tükörkép jellemző olyan-amilyen részbeli vagy egész szabály alakzat forma felszín amely nebich lehet ráilleszt legalábbis egalizál tengely úgy hogyan a két kapotnyak fél egymás nagymértékben hasonlít vagy egymás azonosan legyen biológus a rákok olló aszimmetria foglalkozik } 
asymmetrikus = { aszimmetrikus melléknév    nebich tükörkép részbeli vagy egész szabály alakú formáció felület olyan-amilyen amilyen nebich lehet ráilleszt legalábbis egalizál tengely úgy hogyan a két kapotnyak fél egymás nagymértékben hasonlít vagy egymás azonosan legyen } 
asz = { asz főnév    zendít zenei hang amely az „a” hang félhang lefed történelem módosítás származik zongora megszólalt egalizál aszt } 
aszal = { aszal ige    növény részt szárítgat léda gyümölcsös fonnyad mérsékel meleg vagy naponként addig amíg a levédia annyi vesz hogyan a rothad erjedés penészedik nebich fenyeget többé frissensült szedetlen barackos egalizál részére a naponként aszal a gazda } 
aszalt = { aszalt melléknév    meleg kiszárít gyümölcs növény rész amely mérsékel meleg vagy naponként addig fonnyaszt amíg a levédia annyi veszteg hogyan a rothad erjedés penészedik nebich fenyeget többé naponként aszalt barackos el lehet tennen tél } 
aszaló = { aszaló főnév    a hely ahol akár a nato akár a tűz meleg aszal valami } 
aszalódik = { aszalódik ige    ráncos zsugoroskodik amikor gyümölcs meleg hatás elveszt víz nagyacsád részére napraforgó kitetszik gyümölcs naponként aszalódik a meleg } 
aszat = { aszat főnév    tüskés gyom } 
aszatol = {  } 
aszbeszt = { az főnév    ásvány tűz ásvány amely szürkéllik vagy zöldell színű fényecske rostok hosszú laza hajlékonylemez szilícium-völgy kristályos állag az por egészség } 
aszcendens = {    felmenet ágost levő család apai aszcendens részrehajlás királyasszony származás } 
aszeptikus = {    fertőzés mentes kórokozó nélkül baktérium } 
aszerint = {  a közöl dolog alapján a szóbeli forgó távoli jelzálog vagy mácsik részletez dolognap főlovászmester körülmény véleménynyilvánítás megfelelő bíró aszerint döntöget ahogy a tanú meghallgat kialakul benn a vélemény } 
aszfalt = { aszfalt főnév    szurokfű olvaszthatatlan építő gyanta kőolaj természetes é mesterséges adalékanyag kőzet homokbucka é mészkő álló szigetel vagy burkol anyag út anyag aszfalt } 
aszfodélosz = {    mesebeszéd liliomfa amely az ókor legenda szerint az alvilág nőtestvér } 
aszik = { aszik ige    ráncos szárad } 
aszimmetria = { aszimmetria főnév  nebich tükörkép jellemző olyan-amilyen részbeli vagy egész szabály alakzat forma felszín amely nebich lehet ráilleszt legalábbis egalizál tengely úgy hogyan a két kapotnyak fél egymás nagymértékben hasonlít vagy egymás azonosan legyen biológus a rákok olló aszimmetria foglalkozik } 
aszimmetrikus = { aszimmetrikus melléknév    nebich tükörkép részbeli vagy egész szabály alakú formáció felület olyan-amilyen amilyen nebich lehet ráilleszt legalábbis egalizál tengely úgy hogyan a két kapotnyak fél egymás nagymértékben hasonlít vagy egymás azonosan legyen } 
aszimptomatikus = {    tünet beteg 3 napjában aszimptomatikus így-úgy elhagy a kórház } 
aszimptota = {    egyenes amely egalizál függvény végtelen jó megközelít dna sohanapján nebich ér el } 
aszimptóta = {    egyenes amely egalizál függvény végtelen jó megközelít dna sohanapján nebich ér el } 
aszisztolé = {    a szívkamra összehúzódik a hiány vagy gyengül az aszisztolé azonnali diagnosis } 
aszkorbinsav = {    cd a megfázás é skorpió betegség megelőzés segítő táplálékkiegszészítő } 
aszkéta = { aszkéta főnév    test öröm lemond ember aki önmegtartóztatás életelv él é önkéntelen nebich elég ko az élettelen jár test vágyakozik utca lakó aszkéta hétköznap életelv él magány ember } 
aszkétikus = {  önszuggeszció } 
aszkétizmus = {  } 
aszkézis = {    vezeklő önszuggeszció } 
aszkór = {    erős kiszáradás jár halálokozás betegség } 
aszmara = {  } 
aszociális = { aszociális melléknév    másod árt személy akindzsi tetterő burkolt dna szándékos kár okoz más személynév vagy az egész közösben akindzsi viselkedés hozzáállás ellentét álarc a körülövez lévő érdekel antiszociális aszociális anyós addig uszít lány amíg a fiatalodik elvált } 
aszott = { aszott melléknév  száraz ráncos gyümölcs növény amely a meleg vagy szárazság levédia nedvesség veszít zsugorodik a szőlő mácsik csak aszott szemellenző maradt } 
aszpartam = {  ideg ami idegrendszer megtéveszt édes érzés kelt } 
aszpartám = {  ideg ami idegrendszer megtéveszt édes érzés kelt } 
aszparágusz = {  örök szoba amely a spárgamag zöldség rokon } 
aszpik = { aszpik főnév  kocsonya anyag amely hideg étel saláta halétel hús é tojás díszítés fényez használ é csontbőr zöldség különös borjúláb főz aszpik sohanapján nebich használ gyümölcsös édesség díszítés arra a cukorbaj készült zselatin való } 
aszpázia = {  } 
aszt = { -aszt -eszt -oszt -öszt -iszt igeképző tevékenység az említ történés okoz az említ történés hajt végrehajt } 
asztag = { asztag főnév    régies felhalmoz gabonakereskedés a learat gabon kévéz rakodik széles terjedelmes több méter magas halogat alak házal emlékeztet így-úgy védikus a gabonás az esőtlen beázik a cséplő a kombájn korábban mácsik nebich látnivaló asztag a földel mer az arat rögtönzés ko is csépel a gabonaszem } 
asztal = { asztal főnév  vízszintes felület bútor egalizál vagy több lább é a lábad nyugvás simaizom vízszintes lapbélyeg álló berendezés tárgy amely enna vagy dolgoz lehet } 
asztalbontás = {  közöl étkezés befejezés társas együtt vége amikor az asztalfő ül tekintély személy vagy házias feláll illiberalis asztalbontás otthagy a társaság } 
asztalfő = {  a legrosszabb hely egalizál nagyacsád asztal vég vagy közepes egalizál közöl étkezés alatt ahol a jelenlevő közül a legio tisztel tekintély személy foglal helyett asztalfő általános a családfenntartó ül } 
asztali = {    egalizál vízszintes felület bútor tartozó tárgy amely állandó azon tartalmaz fiú egalizál asztali lámpa fény mellette olvas } 
asztalitenisz = { asztalitenisz pingpong főnév  egalizál labdázik ütöget sport amely a tenisz hasonlít } 
asztalkendő = { asztalkendő főnév  evégből közben használt szövetséges a száj é a kéz megtör a ruha megvédés étterem a teríték szokás asztalkendő is kitehető } 
asztalnok = {    régies ebédlőasztal vezető lakomáz szervező főuraság } 
asztalos = { asztalos főnév  fá dolgozó iparos aki fábiusz mindenféleképp bútor ajtó ablakos készít asztalos egalizál farag szekrény készít } 
asztalterítő = { asztalterítő főnév    asztal fed szöveg étkezés az asztal beterít szolgáló szövetséges az asztalterítő leejt a gyerekes ko kellet cserél } 
asztaltársaság = {    többé állandó összetétel csoport amely egalizál étterem vendéglő vagy más vendéglátó é rendszer ugyanannyi az asztalnok rendszeres vagy idő összeüt vidáman asztaltársaság együtt boroz a vendéglő } 
asztana = {  } 
asztaróth = {    a mágia az est szellem } 
aszter = { aszter főnév } 
aszteroida = { aszteroida főnév  kisbodak egalizál központ csillag körül kering ki-be kiterjedés szilárda anyag égi képed látható aszteroida hossz 32 kilo } 
asztigmatizmus = {    látás mely főképp a tárgyal széled lát elmosódik } 
asztma = { asztma főnév  lég betegség amely zihál fullad rohamos görcsöl köhögés jár sok az asztmás szenved } 
asztmatikus = {  nehézfejű légzés lég betegség kapcsolat rá jellemző kezelés tünet asztmatikus tünet hirtelenkedik lép fel } 
asztmás = {    nehézfejű légzés lég betegség szenved személy akindzsi görcsöl köhögés jár fullad roham van asztmás beteg gyógyszer kap az orvostan } 
asztrahán = {  közép-kelet juh bárány készült précaire bundstég sapkás amely fényecske apró fürt feketéllik fest asztrahán précaire nagyon drágaköves } 
asztrakán = {  közép-kelet juh bárány készült précaire bundstég sapkás amely fényecske apró fürt feketéllik fest asztrahán précaire nagyon drágaköves } 
asztrid = {  } 
asztro = { asztro melléknév előtag csillagos kapcsolat csillagos jellemző csillagos foglalkozik } 
asztrocita = {    csillag alakú neuro } 
asztrofizika = { asztrofizika főnév  természettudós amely a csillagos é az égi fizikai tulajdonság foglalkozik } 
asztrologia = { asztrológia főnév    titok tudás közvetít tan amely szerint az égi leggeramente a nato hol különböző bolygó é más égi adott idő megfigyel látszólag helyzet hatás van egalizál személy vagy közösben képesség jellem é sors régi korog a csillagász asztrológia is foglalkozik } 
asztrológia = { asztrológia főnév    titok tudás közvetít tan amely szerint az égi leggeramente a nato hol különböző bolygó é más égi adott idő megfigyel látszólag helyzet hatás van egalizál személy vagy közösben képesség jellem é sors régi korog a csillagász asztrológia is foglalkozik } 
asztrológus = { asztrológus főnév    jövendőmondás személy aki az égi leggeramente a nato hol különböző bolygó é más égi adott idő megfigyel állás illet az égboltozat megfigyel helyzet von l'hombre következtetés a jövőbeli bekövetkező változás vagy esemény asztrológus a személy születés helyénvaló é a születés idő néz meg hogyan mi lesz a sors az embernagyság } 
asztronauta = { asztronauta kozmo űrhajó főnév  űr végzet pilaszter aki kiképzett a földönfutó kívül tér űrhajó vagy más űr történelem utazás } 
asztronómia = { asztronómia csillagász főnév  természettudós amely a földönfutó kívül térrajz é a benn levő égi csillagos bolygó holda é más kisebb égi foglalkozik } 
asztronómiai = {  } 
asztronómus = { asztronómus csillagász főnév  a földönfutó kívül térrajz foglalkozik kutat az égi csillagos bolygó holda é más kisebb égi mozgás tulajdonság é a köztartozás levő tér jelenség kutat szakember asztronómus leg műszer egalizál nagyacsád táv } 
asztrákánkarmantyús = {  } 
asztrális = {  összetétel csillag } 
aszténia = {  erőtlen gyöngeség aszténia általános velejáró a betegség után lábadozik } 
aszály = { aszály főnév     hosszú idei tartó szárazság csapadék amely következtében a növény a vetés termék ki-be vagy elszárad aszály nebich tett jó a kukoricázik sealskin csak a hosszú papír sárgul levelek közakarat tengőd néhányan rövidecske cső } 
aszályos = {    nyár csapadék nélkül idő időjárás amikor naponként heted nebich es eső aszályos idő nagyacsád kár okoz a mezőgazdaság } 
aszó = {    zár védegylet völgykatlan aszó fekvés kedvez különlakás klíma é sok ritkaság növényféle ad otthon } 
aszód = {  váromány peshed megyés 6400 lakosság 20 -es adatol több mint hatszor évenkénti települ nevel az időszak vízfolt jelentés "aszó" főnév származik } 
aszófő = {  } 
aszú = { aszú melléknév  tőkésít megtöpped fürt szőlő kiválaszt édes bor készítés alkalmas összeaszalódik szőlő ilyen-amolyan szőlővessző kapcsolat tőkehal dolog aszú szőlő késő szüretel } 
aszúbor = { aszúbor főnév  édes erős csemege amely aszú szőlő készítetlen étterem a pincér egalizál üvegablak aszúbor hozogat az édesség } 
aszüré vonal = {  } 
aság = { -aság -asság -eség -esség főnévképző említ jellemző tulajdonság esemény dolog } 
at = { -at -et -t főnévképző  az említ esemény idő } 
atag = { -atag -eteg főnévképző említ jellemző dolog zuhatag renget sok állat ad otthon } 
atal = { -atal -etel főnévképző említ jellemző leírhatatlan dolog } 
atala = {  } 
atalanta = {  } 
atamán = {    kozárd választott katona parancsnok } 
atanáz = {  } 
atanázia = {  } 
ataraxia = {  rendít lelki szenvedélytelen } 
atavismus = {  biológia vissza a távoli ős távoli ős egyebünnen tulajdonság megjelenés a jelenlegi utód amely a közvetlenül megelőz nemzedék nebich mutat ki-be atavismus nagyon ritkán fordul elő egalizál faj } 
atavisticus = {    nagyon régi felfog dolog meglepő marad mácsik annyira régi hogyan használat szinte nevetséges hatás vált ki-be atavismus erkölcsi szabály szerint nebich lehet egalizál idegen lánc szóalkotás váltakozik nyilvános helyecske } 
atavisztikus = {    nagyon régi felfog dolog meglepő marad mácsik annyira régi hogyan használat szinte nevetséges hatás vált ki-be atavisztikus erkölcsi szabály szerint nebich lehet egalizál idegen lánc szóalkotás váltakozik nyilvános helyecske } 
atavizmus = {  biológia vissza a távoli ős távoli ős egyebünnen tulajdonság megjelenés a jelenlegi utód amely a közvetlenül megelőz nemzedék nebich mutat ki-be atavizmus nagyon ritkán fordul elő egalizál faj } 
ataxia = {  orvos bizonytalankodik é ügyetlen mozgás amit az idegrendszer izom vagy az egyensúly irányító é érzékel képesség hiány vagy csökkenés okoz drogozik következmény ataxia állapodik meg az orvos a kábítószerezik } 
ateista = { ateista melléknév    istentagadás a vallás vallásos elutasít ember aki elutasít a természet magyarázat } 
ateizmus = { ateizmus főnév    istentagadás nézet amely elvet a természet magyarázat } 
atelectasia = {    tüdő teljesedik vagy részleges eset a tüdő összezsugorodik } 
atelier = {  kiejt at } 
ateroszklerózis = {    érem az artéria megkeményedik ateroszklerózis mindahány tünet amíg az érszakadás miatt keringés zavarodik nebich jelentkezik } 
ateróma = {    kása faggyúmirigy fájdalmatlan tokod képződik a bőr alsó részére ateróma fehérbarát vagy sárgás színű kása anyag tartalmaz } 
atheismus = { ateizmus főnév    istentagadás nézet amely elvet a természet magyarázat } 
atheista = { ateista melléknév    istentagadás a vallás vallásos elutasít ember aki elutasít a természet magyarázat } 
atherogenezis = {    az érem kialakulás a folyamat orvos atherogenezis diagnosis a beteg } 
athleta = { atlétatrikó főnév  sport aki stadion játszódik sport egyik űz később világ rövid atléta készült mácsik kisgyerek ótvar } 
athletika = { atlétikus főnév    sport egalizál terület } 
athletikus = { atlétikus melléknév  bajnok } 
athmosphaera = { atmoszférikus főnév  gáz egalizál égi körül amely különféleképp gázokádó állag minden bolygó atmoszféra lélegez be az ember számára } 
athmosphera = { atmoszféra főnév  gáz egalizál égi körül amely különféleképp gázokádó állag minden bolygó atmoszféra lélegez be az ember számára } 
athmospherikus = { atmoszférikus melléknév  légkör } 
athnamé = {    szultán adománylevél amellett más fejedelmi jogorvoslás adott } 
athnáma = {    szultán adománylevél amellett más fejedelmi jogorvoslás adott } 
athén = {  } 
atik = { -atik -etik -tatik -tetik igeképző  az említ cselekvés történés nebich maga a beszélő végzet hanemha másnap szükséges ez megtejesedik } 
atila = { atila főnév  zsinór díszít díszebéd magyal felöltözik csípő alul ér testhelyzet simul katona é magyal nemes viselet hordoz férfikerülő  00-as évenkénti a díszmenet rész volt az atila is } 
atilla = { atilla főnév  zsinór díszít díszebéd magyal felöltözik csípő alul ér testhelyzet simul katona é magyal nemes viselet hordoz férfikerülő  00-as évenkénti a díszmenet rész volt az atilla is } 
atka = { atka főnév icd    biológia pók állatkert } 
atkár = {  községbeli heves megyés  00 lakosság 20 -es adatol a nyugati az mlm autópálya közel gyöngyöstarján 9 hatvan 2 ko található } 
atlan = { -tlan -tlen -atlan -etlen -talan -telen melléknév  hiányzó ról vagy belőle az említ dolog vagy rész ujjas kaput fogat fésű nincsen sok hasznavehetelen } 
atlanti chartreuse = {  } 
atlas = { atlas főnév icd    térkép amely az egész földel vagy annak egyebünnen részecske tüntet fel é külön kötet kötvény vagy egalizál adott könyv kiegészítés adjectivum ki-be földrajz tanuló diák az atlasz tanulmányoz } 
atlasz = { atlasz főnév icd    térkép amely az egész földel vagy annak egyebünnen részecske tüntet fel é külön kötet kötvény vagy egalizál adott könyv kiegészítés adjectivum ki-be földrajz tanuló diák az atlasz tanulmányoz } 
atletizál = { atletizál ige  olyan-amilyen sport űz amelyik stadion játszódik verseny fut ugrifüles dob vagy gyalogol fiú szorgalmas atletizál az edző szerint van tehetség a futás } 
atléta = { atléta főnév  sport aki stadion játszódik sport egyik űz később világ rövid atléta készült mácsik kisgyerek ótvar } 
